Use Case,Prompt,Category,Tool Compatibility,Prompt Type,Description/Notes,Tab
Building AI-first funnel with full automation,"Design a fully AI-automated sales funnel for [product/service] with minimal human intervention:

1. AI components:
   - Chatbot for lead qualification (24/7)
   - Predictive lead scoring and routing
   - Dynamic content personalization
   - Automated email responses
   - AI-powered recommendations
   - Smart scheduling and follow-ups

2. Human handoff points:
   - High-value opportunity thresholds
   - Complex question escalation
   - Final negotiation and closing
   - VIP customer handling

3. AI training and optimization:
   - Initial training data requirements
   - Continuous learning from interactions
   - Performance monitoring and tuning
   - Edge case handling

4. Technical architecture:
   - AI platform selection (OpenAI, Anthropic, etc.)
   - Integration with existing tools
   - Data pipeline and storage
   - Security and privacy considerations

Provide complete AI funnel architecture, implementation roadmap, and code examples. Include ROI calculations and scaling projections. Target: 80%+ automation of funnel interactions.",AI & Automation,"ChatGPT, Replit, Lovable, Make.com",Strategy,Creates cutting-edge funnel leveraging latest AI capabilities. Can handle 80%+ of interactions without human involvement while maintaining personalization. Represents future of sales funnel automation and scalability.,💎 UI/UX Excellence
Building API endpoints with validation,"Create a REST API endpoint that:
- Accepts POST requests at /api/users
- Validates input (name, email, age)
- Stores data in [database]
- Returns appropriate status codes
- Includes error handling for duplicate emails
- Implements rate limiting

Use [Express/FastAPI/Django] and include input sanitization.",API Integration,"Cursor, Replit, Windsurf",Training Wheels,"API endpoint creation with comprehensive requirements. Specify the framework, validation rules, and security measures needed.",💎 UI/UX Excellence
Third-party API integration,"Set up API integration with [service]:
- Create service layer for API calls
- Implement authentication headers
- Error handling with retry logic
- Request/response interceptors
- Loading states management
- Data caching strategy

Use Axios or Fetch with proper TypeScript types.",API Integration,"Cursor, Replit, Windsurf",Training Wheels,API integration with robust error handling. Create a service layer to centralize API logic.,🛠️ Feature Development
Designing a team or about section with engaging member profiles,"Create an appealing team section that humanizes your brand and builds connection. Team section structure: (1) Section header: 'Meet the Team' or 'Our Team' headline, Brief intro about team culture or values, Optional team photo/group shot, (2) Team member cards: Grid layout (3-4 columns desktop, 2 tablet, 1 mobile), Consistent card size and styling, Professional photos (same style/background), Member name and title, Brief bio or personal fun fact (2-3 lines), Social media links (LinkedIn, Twitter), Optional 'Meet [Name]' link to full bio, (3) Visual design: Circular or rounded square photos, Hover effects (color overlay, flip to reveal more info), Grayscale photos with color on hover, Consistent brand colors in card design, (4) Content strategy: Show personality (not just credentials), Diversity and inclusion representation, Behind-the-scenes candid photos option, Team values or culture highlights, (5) Interactive elements: Filter by department or role, Expandable cards for full bios, Photo gallery or carousel option. Ensure accessibility with proper alt text. Keep photos current and professional yet personable.",About & Team Design,"Lovable, Replit, ChatGPT, Cursor, v0",Design,Creates engaging team sections that build trust and human connection. Showing real team members increases trust by 25%+ and helps visitors connect with the brand. Important for service businesses and B2B companies.,🎨 Visual Design & Modern Aesthetics
Keyboard navigation and shortcuts,"Add keyboard shortcuts:
- Define shortcuts for common actions
- Show shortcuts panel (? key)
- Support Mac and Windows key combos
- Prevent conflicts with browser shortcuts
- Add visual feedback when triggered

Accessible for screen readers.",Accessibility,All tools,No Training Wheels,Keyboard shortcuts for power users. Document shortcuts and make them discoverable.,🎨 Visual Design & Modern Aesthetics
Creating an accessible and inclusive homepage meeting WCAG AA standards,"Design a fully accessible homepage that meets WCAG 2.1 AA compliance and ensures inclusive user experiences. Requirements: (1) Color contrast: Minimum 4.5:1 for normal text, 3:1 for large text (18px+), never rely on color alone for information, (2) Keyboard navigation: All interactive elements accessible via Tab key, visible focus indicators with 3px outline, logical tab order, (3) Screen reader support: Semantic HTML5 elements, descriptive alt text for all images (or alt='' for decorative), ARIA labels for interactive components, heading hierarchy (H1-H6) properly structured, (4) Forms: Clear labels, error messages, and instructions, (5) Responsive to user preferences: Respect prefers-reduced-motion, support dark mode with prefers-color-scheme, (6) Minimum touch targets: 44x44px for mobile, (7) Readable typography: 16px minimum, resizable text up to 200% without breaking layout. Test with WAVE, axe DevTools, and actual screen readers.",Accessibility & Inclusive Design,"Lovable, Replit, ChatGPT, v0, Bolt",Strategy,"Ensures homepage is usable by everyone, including users with disabilities. Accessibility is increasingly required for awards consideration and expands potential audience by 15%+. Based on WCAG standards and inclusive design principles.",✨ Award-Winning Homepage Designs
Building analytics dashboard for funnel performance tracking,"Create a comprehensive analytics tracking system for [sales funnel] with:

1. Key metrics to track:
   - Funnel stage conversion rates
   - Average time in each stage
   - Drop-off points and abandonment rates
   - Traffic source performance
   - Customer acquisition cost by channel
   - Lifetime value projections

2. Dashboard design:
   - Real-time monitoring widgets
   - Trend analysis charts
   - Alert systems for anomalies
   - Cohort analysis views

3. Implementation:
   - Google Analytics 4 setup guide
   - Custom event tracking code
   - UTM parameter strategy
   - Heatmap and session recording tools

4. Reporting:
   - Weekly performance report template
   - Monthly optimization recommendations
   - Quarterly strategic review format

Provide code snippets for tracking implementation and dashboard creation. Include sample SQL queries for advanced analysis.",Analytics & Tracking,"ChatGPT, Google Analytics, Replit, Tableau",Analysis,Establishes comprehensive tracking and reporting for data-driven funnel optimization. Provides visibility into performance at every stage. Essential for identifying opportunities and measuring ROI.,💎 UI/UX Excellence
Implementing predictive analytics for funnel optimization,"Set up predictive analytics system to optimize [sales funnel]:

1. Data collection:
   - User behavior tracking
   - Conversion event logging
   - Feature usage monitoring
   - Customer attribute data

2. Predictive models:
   - Lead scoring (conversion probability)
   - Churn prediction
   - Lifetime value forecasting
   - Next best action recommendations

3. Activation and automation:
   - Real-time scoring and segmentation
   - Automated nurture path assignment
   - Dynamic content personalization
   - Sales alert triggers

4. Continuous improvement:
   - Model performance monitoring
   - Feedback loop implementation
   - Regular retraining schedule
   - A/B testing of predictions

Provide technical architecture, implementation guide with code samples, and KPI dashboard design. Include tool recommendations (Python, TensorFlow, cloud ML services).",Analytics & Tracking,"ChatGPT, Replit, Google Cloud AI, AWS SageMaker",Analysis,Uses machine learning to predict outcomes and optimize funnel in real-time. Can increase conversion rates by 20-40% through better targeting. Requires data infrastructure but provides significant competitive advantage.,💎 UI/UX Excellence
Creating post-purchase satisfaction survey for continuous improvement,"Design a post-purchase feedback system that drives funnel optimization:

1. Survey design:
   - Net Promoter Score (NPS) question
   - Customer Satisfaction (CSAT) rating
   - Customer Effort Score (CES)
   - Open-ended feedback questions
   - Specific funnel touchpoint ratings

2. Timing and delivery:
   - Immediate post-purchase survey
   - Post-delivery/onboarding survey
   - 30-day experience survey
   - Channel selection (email, SMS, in-app)

3. Data analysis:
   - Sentiment analysis
   - Common theme identification
   - Correlation with conversion metrics
   - Detractor follow-up protocol

4. Action and optimization:
   - Feedback-driven funnel improvements
   - Quick wins implementation
   - Long-term optimization roadmap
   - Closing the loop with respondents

Provide survey templates, analysis framework, and action planning guide. Include code for automated survey delivery and analysis.",Analytics & Tracking,"ChatGPT, Typeform, SurveyMonkey, Replit",Analysis,Creates systematic process for capturing customer feedback and using it for optimization. Identifies blind spots and improvement opportunities. Essential for continuous funnel improvement and customer-centric approach.,💎 UI/UX Excellence
Building a homepage with scroll-triggered number animations and data reveals,"Design an impactful statistics section with scroll-triggered animations that highlight key metrics. Animation implementation: (1) Number counter animations: Numbers that count up from 0 when scrolled into view, Use easing function for natural feel (start slow, accelerate, slow at end), Duration: 1.5-2.5 seconds depending on number size, Format large numbers with commas (1,000,000), Include + or % symbols where appropriate, (2) Trigger mechanics: Use Intersection Observer API for scroll detection, Trigger when element is 20-30% in viewport, Animate once (don't repeat on scroll up/down), Fallback: Show final numbers if JavaScript disabled, (3) Visual design: Large, bold numbers (56-80px), Descriptive labels below numbers (16-20px), Icons or illustrations accompanying stats, Grid layout for multiple stats (3-4 per row), Background section to highlight importance, (4) Additional effects: Fade-in animation combined with counting, Slide-up entrance animation, Progress bars that fill to percentage, Chart animations (bar heights, pie fills), (5) Content strategy: Use impressive, round numbers, Be specific with metrics ('50,000+', not 'thousands'), Include context or comparison. Ensure animations are smooth on all devices. Test performance with many animated elements.",Animation & Data Visualization,"Lovable, Replit, ChatGPT, Cursor, v0",Design,Creates engaging data presentations that capture attention and communicate scale. Animated statistics increase information retention by 40%+ and create wow moments. Commonly used in About pages and marketing homepages.,✨ Award-Winning Homepage Designs
Adding animations and interactions,"Add smooth scroll animations using:
- Intersection Observer for fade-in effects
- Parallax scrolling for hero section
- Stagger animations for list items
- Page transitions

Use Framer Motion or CSS animations. Keep animations subtle and performance-friendly.",Animation & Interactivity,All tools,No Training Wheels,Animation implementation with performance considerations. Specify animation library preference and performance constraints.,✨ Award-Winning Homepage Designs
Cursor interactions,"Implement cursor/pointer effects:
- Custom cursor design
- Hover effects on interactive elements
- Magnetic cursor on buttons
- Trailing effects
- Smooth transitions
- Disable on touch devices

Keep subtle and not distracting.",Animation & Interactivity,All tools,No Training Wheels,Custom cursor effects. Use sparingly and ensure it doesn't hurt usability.,🚀 Interactive & Immersive Elements
Implementing secure authentication,"Add user authentication to this app using [Supabase/Auth0/Firebase]. Include:
- Sign up with email/password
- Login with email/password
- Password reset functionality
- Protected routes that redirect to login
- Secure session management

Use environment variables for API keys. Follow OWASP security guidelines.",Authentication & Security,"Lovable, Cursor, Replit, Bolt.new",Training Wheels,Comprehensive authentication prompt with security best practices. Always specify the auth provider and security requirements.,💎 UI/UX Excellence
Social authentication,"Implement OAuth social login:
- Sign in with [Google/GitHub/Twitter]
- Handle OAuth flow
- Link multiple accounts
- Fallback to email/password
- Request minimal permissions
- Secure token storage

Use NextAuth or Passport.js.",Authentication & Security,"Cursor, Replit, Windsurf",Training Wheels,OAuth social login integration. Use established library for security and ease of implementation.,🛠️ Feature Development
Implementing Awwwards-winning minimalist design with maximalist interactions,"Create a homepage that embodies the 2025 award-winning trend of minimalist aesthetics with rich interactions. Design approach: (1) Visual simplicity: Clean white/light backgrounds, ample whitespace (40%+ of layout), limited color palette (2-3 colors), simple geometric shapes, (2) Typography-focused: Large, bold typography as the main visual element, creative text animations (split text reveals, gradient fills), hierarchy through size and weight alone, (3) Sophisticated micro-interactions: Hover effects with smooth transitions (300ms ease-out), Cursor changes with custom cursors, Button morphing and ripple effects, Smooth page transitions between sections, (4) Subtle animations: Elements that respond to scroll position, Parallax effects on backgrounds, Staggered fade-ins for lists, (5) Performance: Despite rich interactions, maintain fast load times using CSS transforms, Respect prefers-reduced-motion. Reference: Apple's product pages, Stripe's homepage, Awwwards SOTD winners.",Award-Winning Design Patterns,"Lovable, Replit, ChatGPT, Cursor, v0",Design,Implements the leading trend in award-winning web design combining clean aesthetics with delightful interactions. This approach wins Awwwards recognition while maintaining usability and performance. Based on 2025 design trends from Seahawkmedia research.,✨ Award-Winning Homepage Designs
Implementing account-based marketing funnel for B2B,"Create an account-based marketing (ABM) funnel for [B2B product/service]:

1. Account selection:
   - Ideal customer profile definition
   - Account scoring and prioritization
   - Stakeholder mapping within accounts
   - Research and intelligence gathering

2. Personalized engagement:
   - Account-specific landing pages
   - Personalized content and messaging
   - Multi-threaded outreach strategy
   - Executive-level engagement tactics

3. Channel orchestration:
   - LinkedIn advertising to target accounts
   - Direct mail campaigns
   - Personalized email sequences
   - Events and networking

4. Sales enablement:
   - Account insights and intelligence
   - Trigger event notifications
   - Buying committee engagement tracking
   - Handoff optimization to sales

Provide ABM playbook, personalization templates, and account journey maps. Target: 3x higher close rates vs traditional funnel.",B2B Funnel,"ChatGPT, 6sense, Demandbase, LinkedIn",Strategy,Creates highly targeted funnel for specific high-value accounts. More effective than broad funnel for enterprise sales. Can reduce sales cycles by 40% and increase deal sizes significantly.,🎯 Conversion & Funnel Optimization
Establishing strong brand identity and visual consistency across homepage,"Create a homepage that powerfully communicates brand identity with absolute consistency. Brand elements: (1) Logo: Prominent placement in top-left, consistent sizing across pages (150-200px width), proper spacing (minimum 20px clearance), (2) Color palette: Define primary brand colors (2-3 colors) used consistently across all elements, create a color system with documented hex codes, (3) Typography: Establish brand font families (heading + body), consistent sizes and weights, (4) Imagery style: Consistent photography style (e.g., lifestyle, product shots, illustrations), unified filters or color treatments, (5) Voice and tone: Consistent copywriting style reflecting brand personality (professional, playful, authoritative), (6) Design elements: Signature shapes, patterns, or graphic elements used throughout, (7) Spacing system: Consistent padding and margins using 8px baseline grid. Create a cohesive emotional experience that users can instantly recognize as your brand.",Brand Identity & Consistency,"Lovable, Replit, ChatGPT, Cursor, v0",Design,Builds strong brand recognition and trust through consistent visual identity. Consistent branding can increase revenue by 33% and improves memorability. Essential for award-winning designs that stand out while maintaining cohesion.,🎯 START HERE - Pre-Session Setup
Implementing seasonal campaign funnels with urgency,"Create seasonal/holiday campaign funnel for [product/service] maximizing limited-time urgency:

1. Campaign planning:
   - Calendar of key dates (Black Friday, holidays, etc.)
   - Campaign themes and angles
   - Offer structure and discounting strategy
   - Inventory and capacity planning

2. Pre-launch sequence:
   - Teaser campaigns building anticipation
   - Early access for VIP customers
   - Waitlist and notification signup
   - Countdown and reminder sequence

3. Launch execution:
   - High-impact launch messaging
   - Multi-channel coordination
   - Real-time inventory and urgency updates
   - Deal progression (increasing urgency)

4. Post-campaign:
   - Last chance messaging
   - Non-buyer win-back attempts
   - Thank you and retention focus
   - Data analysis and lessons learned

Provide campaign calendar, email sequences, ad creative briefs, and performance tracking dashboard. Include year-round promotional calendar template.",Campaign Strategy,"ChatGPT, Klaviyo, Lovable, Google Analytics",Strategy,Maximizes revenue during key seasonal periods. Seasonal campaigns can drive 30-50% of annual revenue for many businesses. Requires careful planning and execution across multiple channels.,💎 UI/UX Excellence
Creating a color psychology-driven homepage with strategic palette selection,"Design a homepage using color psychology principles tailored to the brand's emotional goals. Research-backed color applications: (1) For trust/security brands: Navy blue (#1E3A8A) primary with green (#10B981) accents for CTAs, (2) For energy/urgency brands: Orange (#F97316) primary with yellow (#FCD34D) highlights, (3) For luxury/sophistication: Black (#0F172A) with gold (#F59E0B) or silver (#94A3B8) accents, (4) For health/wellness: Sage green (#84CC16) with earth tones. Implement: 60-30-10 color rule (60% dominant, 30% secondary, 10% accent), high contrast ratio (minimum 4.5:1 for WCAG AA) between text and backgrounds, color gradients for depth, color blocking to group related content, consistent brand colors across all elements. Use bright colors sparingly for CTA emphasis. Include hover states with color transitions.",Color Psychology & Design,"Lovable, Replit, ChatGPT, Cursor, v0",Design,Applies evidence-based color psychology to evoke specific emotions and drive actions. Colors can increase brand recognition by 80% and improve readability when properly contrasted. Based on award-winning design patterns from Awwwards and CSSDA.,✨ Award-Winning Homepage Designs
Building a contact section with interactive map and multiple contact methods,"Design a comprehensive contact section that makes reaching out easy and appealing. Contact components: (1) Contact form: Fields: Name, Email, Phone (optional), Subject dropdown, Message textarea, Submit button with loading state, Success message on submission, Email notification to business, Auto-reply to user, Form validation with helpful error messages, (2) Interactive map: Embedded Google Maps showing location, Custom pin with brand colors, 'Get Directions' link, Satellite/street view toggle, (3) Contact information grid: Office address with map icon, Phone number (clickable tel: link), Email (clickable mailto: link), Business hours with clock icon, Social media links with brand icons, (4) Alternative contact methods: Live chat widget integration, WhatsApp button (mobile), Schedule call/meeting button, (5) Design elements: Contact section with distinct background color, Office photo or team photo, Quick response time promise, 'We typically respond within 24 hours'. Ensure form is accessible and mobile-friendly. Implement reCAPTCHA for spam prevention.",Contact & Engagement,"Lovable, Replit, ChatGPT, v0, Bolt",Design,Creates effective contact sections that increase inquiry rates by making communication easy and trustworthy. Multiple contact options accommodate different user preferences. Well-designed contact forms can increase submissions by 120%.,🎨 Visual Design & Modern Aesthetics
Creating a blog-focused homepage with content discovery features,"Design a homepage optimized for blog content discovery and readership. Layout structure: (1) Featured post: Large hero card with cover image, Headline, excerpt (2-3 lines), Author, date, read time, Category tag, (2) Recent posts grid: 3-column grid on desktop, 1-column on mobile, Smaller cards with images, titles, excerpts, Hover effects (image zoom, shadow lift), (3) Category navigation: Horizontal category pills/tabs, Filter content by category without page reload, Visual category icons, (4) Sidebar elements: Author bio with photo, Newsletter signup form, Popular posts list, Social media links, Tag cloud or search, (5) Pagination or infinite scroll: 'Load More' button, Smooth loading animation, Progress indicator, (6) Post metadata: Reading time estimate, Comment count, Social share buttons. Optimize for content readability: use serif fonts for articles, maintain 720px max-width for post content, generous line height. Include RSS feed link.",Content & Publishing Design,"Lovable, Replit, ChatGPT, Cursor, v0",Design,Creates engaging blog homepages that maximize content discovery and readership. Well-designed blog homepages can increase pageviews by 40%+ and time-on-site. Based on successful publishing site patterns.,✨ Award-Winning Homepage Designs
Designing a FAQ section with accordion interface and search,"Create a comprehensive, user-friendly FAQ section for homepage inclusion. FAQ structure: (1) Section header: 'Frequently Asked Questions' heading, Brief intro text, Search bar for FAQ filtering, (2) Accordion interface: Questions as clickable headers with + icon, Smooth expand/collapse animation (300ms), Only one open at a time or allow multiple, Answers in readable paragraph format with bullets if needed, (3) Organization: Group by category with category headers, Most asked questions at top, Logical flow from general to specific, (4) Content strategy: Questions written in natural language (how users ask), Answers concise but complete (100-200 words), Include links to detailed articles, Address common objections or concerns, (5) Functionality: Jump links from navigation to FAQ section, 'Was this helpful?' voting on answers, Contact CTA if question not answered, (6) Accessibility: Keyboard navigation (Enter to expand), ARIA labels for screen readers, Heading hierarchy for structure. Mobile-optimized with larger touch targets.",Content & UX Strategy,"Lovable, Replit, ChatGPT, Cursor, v0",Design,Creates efficient self-service support that reduces friction in the buying process. Well-designed FAQs can reduce support tickets by 30% and improve conversions by addressing objections. Essential for SaaS and e-commerce sites.,✨ Award-Winning Homepage Designs
Building content marketing funnel with SEO focus,"Design a content-driven funnel optimized for organic search:

1. Content strategy:
   - Top of funnel: Informational keywords and blog posts
   - Middle of funnel: Comparison and solution content
   - Bottom of funnel: Product and buying guide content
   - Topic cluster architecture

2. SEO optimization:
   - Keyword research and mapping
   - On-page SEO elements
   - Internal linking strategy
   - Technical SEO requirements

3. Conversion optimization:
   - Content upgrades and lead magnets
   - Strategic CTA placement
   - Email capture strategies
   - Retargeting pixel implementation

4. Content promotion:
   - Initial traffic generation
   - Link building strategy
   - Social media amplification
   - Email newsletter integration

Provide content calendar, SEO checklist, and funnel mapping. Target: 50,000+ monthly organic visitors within 12 months.",Content Marketing,"ChatGPT, Surfer SEO, Ahrefs, Lovable",Strategy,"Creates sustainable organic traffic source that feeds sales funnel. SEO content can have 10x better ROI than paid advertising. Essential for long-term, scalable growth.",💎 UI/UX Excellence
Creating emotional connection storytelling funnel,"Build a story-driven funnel for [brand] that creates emotional connection:

1. Brand story framework:
   - Origin story and 'why'
   - Founder journey and struggles
   - Customer transformation stories
   - Brand values and mission

2. Storytelling across funnel:
   - Awareness: Share relatable problem stories
   - Interest: Demonstrate transformation possibilities
   - Consideration: Detailed case studies and journeys
   - Decision: Personal connection and shared values
   - Loyalty: Community and belonging

3. Content formats:
   - Written narratives
   - Video testimonials and documentaries
   - Audio stories/podcasts
   - Interactive story experiences

4. Emotional triggers:
   - Identify key emotions to evoke
   - Story arcs that resonate
   - Authentic vulnerability
   - Hero's journey framework

Provide storytelling playbook, story templates, and content production guide. Include examples of emotional storytelling that drives conversions.",Content Marketing,"ChatGPT, StoryBrand, Lovable, Vimeo",Content,Creates deeper brand connection through narrative and emotion. Story-driven marketing can increase conversion by 30%+ and build lasting loyalty. Particularly effective for purpose-driven brands.,✨ Award-Winning Homepage Designs
Building a comparison table section for pricing or feature comparison,"Design a clear, conversion-optimized comparison table for homepage inclusion. Table structure: (1) Layout: 3-4 columns comparing options (tiers, products, plans), Highlight recommended or most popular option with: Different background color, 'Most Popular' badge, Slightly larger size or border, (2) Row organization: Header row with plan names and pricing, 'Sign Up' CTA button in each column, Feature rows with checkmarks/x marks, Category separators for grouped features, (3) Visual elements: Icon indicators (✓ checkmark, ✗ cross, ~ partial), Color coding (green for yes, gray for no), Tooltips for complex features on hover, Collapsible sections for extensive features, (4) Responsive design: Horizontal scroll on mobile with sticky first column, Or: Stack columns vertically on mobile, Card-style layout for mobile, (5) Interactive features: Toggle between monthly/annual pricing, 'See all features' expansion link, Highlight differences between tiers. Ensure high contrast for readability. Include summary row at bottom. Make CTAs prominent in popular column.",Conversion & Comparison,"Lovable, Replit, ChatGPT, v0, Bolt",Design,"Creates effective comparison tables that aid decision-making and increase conversions. Clear feature comparison can reduce sales cycle time by 40%. Essential for SaaS, e-commerce, and service-based businesses.",✨ Award-Winning Homepage Designs
Creating a countdown timer section for launches or limited offers,"Design an engaging countdown timer that creates urgency and drives action. Timer components: (1) Display format: Large numbers showing: Days, Hours, Minutes, Seconds, Labels below each unit, Use flip animation or smooth counting, (2) Visual design: Bold, large numbers (48-72px), High contrast colors, Background distinct from page (accent color or gradient), Optional circular progress rings around numbers, (3) Context: Headline explaining what's counting down ('Launch in', 'Offer ends in', 'Event starts in'), Subtext with date/time in words, CTA button below timer ('Notify Me', 'Reserve Spot'), (4) Functionality: Live JavaScript countdown, Time zone handling, Action when countdown reaches zero (reveal content, redirect, show message), Optional recurring countdown for regular sales, (5) Design variations: Inline timer in header bar, Full-section timer for major events, Floating timer badge. Save user's timezone preference. Include fallback for disabled JavaScript. Create urgency without being pushy.",Conversion & Urgency,"Lovable, Replit, ChatGPT, Cursor, v0",Design,"Implements urgency tactics that can increase conversions by 20%+ through FOMO (fear of missing out). Countdown timers are effective for launches, sales, and event promotions. Based on conversion optimization research.",🎨 Visual Design & Modern Aesthetics
