Tab,Prompts,Priority,Purpose
🎯 START HERE - Pre-Session Setu,4,⭐⭐⭐⭐⭐ ESSENTIAL,Essential guardrails - Use before EVERY session
✨ Award-Winning Homepage Design,40,⭐⭐⭐⭐⭐ HIGH,"Modern, futuristic homepage layouts"
🎨 Visual Design & Modern Aesthe,1,⭐⭐⭐⭐⭐ HIGH,"Typography, colors, brand identity"
🚀 Interactive & Immersive Eleme,2,⭐⭐⭐⭐⭐ HIGH,"Animations, 3D, parallax, interactions"
💎 UI-UX Excellence,24,⭐⭐⭐⭐⭐ HIGH,"Navigation, accessibility, user experience"
🎯 Conversion & Funnel Optimizat,18,⭐⭐⭐⭐ MEDIUM-HIGH,"Sales funnels, CRO, personalization"
📄 Landing Pages & Lead Generati,15,⭐⭐⭐⭐ MEDIUM-HIGH,"High-converting pages, lead capture"
💰 E-commerce & Product Pages,3,⭐⭐⭐ MEDIUM,"Product showcases, e-commerce"
📊 Dashboard & Admin Panels,7,⭐⭐⭐ MEDIUM,"Data visualization, admin interfaces"
📱 Social Proof & Trust Building,4,⭐⭐⭐ MEDIUM,"Testimonials, reviews, trust elements"
📧 Content & Marketing,4,⭐⭐⭐ MEDIUM,"Email marketing, content strategy"
🔗 API & Integration,3,⭐⭐⭐ MEDIUM,"API integration, third-party services"
⚡ Performance & Technical,9,⭐⭐⭐ MEDIUM,"Speed, security, optimization"
🔍 SEO & Analytics,5,⭐⭐⭐ MEDIUM,"Search optimization, tracking"
🧪 Testing & Debugging,3,⭐⭐⭐ MEDIUM,"Testing strategies, QA"
🛠️ Feature Development,40,⭐⭐⭐ MEDIUM,General features and components
📋 Other Specialized Prompts,21,⭐⭐⭐ MEDIUM,Miscellaneous specialized prompts
